,c2_XM,c2_YM
8_2_87,60561.740779186,5613.159509421999
8_31_75,63406.373719809,2794.333858687
6_73_28,48421.071449227005,4076.544632034
2_60_84,18236.172225853,5523.096360017
1_90_15,14699.688124317,4908.244867478
2_47_93,21169.866111844,6018.397135238
7_16_87,58147.18423808,1464.713860558
9_7_4,68684.813494257,1295.722357709
5_6_81,38608.611262327,4668.744760058
9_48_13,70083.870388814,2139.5131143
8_24_81,61396.373126246,3691.492399687
4_33_21,31318.706430944,2759.9004690770003
0_35_29,2256.790464373,3622.714238005
9_42_5,72289.26338085599,4569.90227608
9_45_76,71680.94262314099,3023.840331948
3_72_52,24854.818317062003,2314.7017957370003
1_73_18,14692.074231434,3997.001349662
9_56_87,68265.42291837401,1605.950417795
1_57_90,12180.45160682,4074.301888751
4_90_48,36760.278363631,4064.167507425
9_92_57,67766.621286287,3512.153283649
0_25_53,4165.565413246,3024.904298976
3_16_61,27459.141568939,6048.522346262
4_3_2,31819.897781785,2747.955049791
9_3_58,68385.995760881,4124.101306296
8_15_72,60578.092777578,1355.187328694
1_30_9,13764.693811185,3770.984350389
8_55_54,65604.68018136099,4619.19890465
4_43_29,31103.466325163,3747.511623816
5_23_9,42019.96366366,2943.3108743340003
8_21_25,65603.84522345,3188.660036569
3_71_58,27365.051879557,5241.643904537
5_89_83,41919.177014838,2958.149803643
1_47_12,10465.373816692,1967.924518447
2_5_41,18568.608990028,3919.511686645
7_8_62,58909.570560084,5807.876181318001
1_46_76,14597.534668327,3086.614074802
6_15_8,50530.75087226,3965.217650317
9_84_92,70274.47623175,2307.125269818
3_73_36,29174.262536321003,2130.6416352710003
8_18_53,62271.137910655,3804.987819215
6_16_75,49033.01601935599,2156.29121218
9_74_73,73842.944085053,1727.804037869
2_42_59,21463.938213375,5338.742903317
1_14_20,11667.022574149,5494.248776632
6_0_6,51326.860355782,5798.229165131
3_56_57,27337.133844789,4043.375278465
8_38_88,65913.430360813,1485.341766689
0_28_6,3577.191847827,1306.526000533
4_58_73,32327.713504511,3143.416584077
0_36_89,5966.21688901,3538.50767858
4_38_4,32423.721858075,5050.800598373
9_58_22,68948.169252829,4533.20113842
7_47_69,58097.596647425,5601.906925361999
6_74_79,47801.704696584005,4770.40265375
1_30_63,11850.246761795,5272.395986271
6_90_14,49725.034784682,4478.299272843
6_10_76,50428.897605746,1737.460432614
1_22_84,10246.290110511,4482.779715913
2_50_53,18229.321348025,2985.175947533
5_90_91,40216.108837295,2858.508483292
8_30_42,62289.868412696,5107.670136364
7_68_21,57391.028821757005,2574.6278525420003
1_43_67,11162.9228967,2252.734176978
2_70_68,19058.508324515,5606.294987122
1_44_4,14468.909862656,5800.008918833
6_30_2,49107.880025187005,6106.396361794
6_18_21,50517.40112386901,5796.72590603
3_42_36,24443.905524407,2626.266756025
8_86_72,65105.299861177,1590.934525166
8_91_22,62971.464786884,5909.805298957
5_63_67,39410.091836062005,3665.980827696
8_46_17,65724.43719584,2395.350392927
2_28_65,17130.587429513,3421.8519113340003
7_11_62,53682.322631344,4696.311504677
9_43_12,68058.99035938,4840.540917507
9_82_29,71752.422846798,5862.576057456
1_59_43,8721.207018724,5968.668445679
1_94_95,13666.432605557,4889.932599129001
9_23_17,68368.397910529,2837.341369246
1_1_18,10146.852578049,4773.500096038
9_19_18,70489.22311374,2229.366250916
5_84_3,39812.788175223,3652.09615791
1_70_69,13098.87140351,2063.936596108
9_87_4,71176.795279884,5044.271245143
1_7_65,10559.453884129,2254.020539889
2_76_86,17356.249071331,2696.0526914320003
1_57_33,10160.893297294,4963.979623212
6_74_24,46500.674042477,5469.79210752
3_45_26,24618.221595958,3635.891634742
1_53_71,11841.541638448,3566.723797471
8_86_37,63161.7610473,5504.190863751
3_40_63,26162.257345834,2925.6097723840003
6_92_18,49326.902300703,5981.292806626
8_86_13,60388.698401347,3279.141034641
1_1_62,9022.039180634,4859.469426562
2_18_76,21788.902025056,5123.089050816
6_58_15,51329.817548024,2669.023044892
9_68_6,73606.734782466,4429.947921602
6_59_91,47315.275544418,3666.471837971
2_88_82,17759.442128109,1874.531107786
8_13_50,62990.083325393,2299.286404242
0_52_0,3875.697791399,4346.80731134
6_51_25,49417.102971858,5380.035936123
9_58_87,71690.021520873,4266.680936825
9_47_82,69763.191729164,5722.126077782
1_81_24,12264.353630708,5301.268569682999
9_34_12,70573.276829679,4931.19205109
9_42_46,69776.208326074,2327.941107976
6_9_45,49029.508071497,4278.897621658
1_90_4,8628.946711520999,3354.748791401
6_63_42,48709.459041749,2645.99010288
4_80_9,31238.997133224,4250.434547178
7_12_73,54006.52107508099,2064.585415087
4_66_80,35665.197339876,4779.061490708
0_76_76,5358.324224906,3541.905285874
0_76_4,4177.11686713,1108.670164249
2_88_45,19649.461363921,5716.095674534
1_56_3,10746.062453122,6073.957378233001
6_35_53,48716.910177728,3976.172312383
7_7_45,55200.13635368599,5688.142688019
0_38_34,5984.065944855,5755.83967466
8_85_36,63612.453581957,3901.389079013
2_14_18,16029.000391246002,2380.774519713
8_87_60,65300.931483855,4206.413603429
5_61_22,41835.833493617,3650.229486706
8_53_8,65518.426346668,4313.826576313
0_54_26,5297.459034346,1324.024199866
6_28_12,48717.429606205,4475.095592314
3_11_56,27340.281798652,3727.864547633
5_90_89,43049.461487722,2154.7740440320003
7_31_64,54292.809939619,1760.270426403
0_70_12,4468.304278747,1635.44847439
4_18_37,33122.548678747,6158.553281381
8_42_16,60381.292982837,4793.257608686
3_6_95,28546.350020094,5247.085151341
8_71_2,61067.218563655,3482.582682731
2_76_2,18772.486743777,5213.375437605
0_44_92,7088.928561577,3071.994120896
0_47_72,4063.425982745,4239.722212369
1_84_90,13188.848829104,4888.310216564
3_87_63,27964.851769421,4246.421680761
1_23_49,13095.596902827,2372.477835322
9_35_87,71920.676249838,1526.077901952
6_24_14,47390.347183164005,2356.409567609
2_50_73,21268.1572604,3393.3732283920003
3_86_87,24040.497290213,3621.219542946
0_27_75,6756.699622632,5454.192817245
9_29_36,68980.212374044,1586.961138842
9_27_15,71703.089192394,4846.417786853
3_60_60,29155.061634694,5352.64572339
8_54_73,62598.415392713,2988.8081528659995
6_4_86,51440.976676849,4073.109034714
6_55_0,46199.755532376,3564.0917033990004
3_4_3,27254.671947976,5344.52229337
3_29_48,26645.706517784,6054.012373703001
3_94_35,25146.082086426,1610.89303146
8_1_45,66016.294891832,1269.623543043
4_45_90,35046.784283183,1730.462637748
6_55_8,49934.861200217005,2759.4462320240004
5_90_57,39718.647706507,4659.473754221
0_23_67,3652.351951097,4929.938818461
1_38_30,12281.641284054,4077.293136778
0_73_58,4782.621432898,4038.005607962
4_21_84,31925.80475287,3157.996640123
9_52_38,72582.985935757,3338.745103352
5_24_36,43937.527395522,1541.1209845929998
9_29_24,70690.944292179,3635.030023016
3_68_3,26452.099956486,2115.624953431
6_14_68,45786.261122572,2656.640542089
2_34_28,20065.65437399,5418.458288334
8_90_79,61174.753708085,6097.723483165
5_69_68,38914.403439137,4962.620601938
0_76_22,5586.317155217,3748.840776139
2_5_89,18346.381294333,5738.782247751999
6_66_55,47083.325400657,4471.967157797
2_74_35,16830.676532737,5000.105019629
8_79_87,61184.649751978,5191.780978472
2_82_8,16457.587826304,3496.357439551
7_29_14,56994.75918779599,2685.160090446
9_80_84,68176.687639991,4228.164985333
3_19_67,23423.497861953,2617.854226455
2_28_95,16946.697994185,3294.2633145120003
1_7_12,8831.462303289,4756.264695116
8_23_89,66213.977467588,4208.384783477
2_8_0,20184.085086414,1584.268888197
6_54_75,51327.175418426,3566.727017049
6_90_58,46506.27018961701,3358.3257766690003
0_42_40,6160.89798148,5663.483646861
0_74_6,1966.517476519,1505.549763401
1_4_12,8618.706096444,4989.365501459
7_35_58,53392.32979433,3968.606946083
5_91_93,40718.760375686,1749.679147436
3_70_94,27557.762706192003,4741.661721642
7_84_58,54400.586339284,5491.166703578
1_2_62,13695.594817493,2582.678321141
6_24_65,50922.194221575,5975.886745215999
5_90_58,38703.519325448,4667.709606554
2_60_69,16212.808021656,4805.654343932
8_6_74,65592.25759323,5930.503047038001
8_5_68,63325.100760627,1586.498687256
1_65_82,9857.156820844,2650.3954788270003
0_19_92,7300.160538876,5052.131056847
7_66_72,53491.159769096,4373.269799972
7_77_8,55910.421929143,2470.607325811
2_69_9,19756.624757543,5729.929386908
8_15_88,61701.34863294901,1970.208320003
1_41_67,10149.28988913,2950.88226199
0_32_79,6172.57029701,4973.32981227
7_88_50,58926.000795001,2186.3706036
3_50_55,28685.410439607003,1516.159165895
6_16_74,51644.612292883,3464.645855477
3_59_46,24930.708366518,3827.434996356
4_31_91,33239.289580041004,5054.977581325
9_72_25,68581.14774546599,3514.375122884
0_72_36,3953.965084848,4031.140633741
5_86_70,40620.277520598,3348.908017701
4_63_71,34844.374729255,4056.384538478
1_63_4,14594.820143608,3479.206848491
7_35_37,57908.317211303,4690.427536906
3_76_87,28671.396835933,2024.006892601
2_59_91,16623.473919357,5005.198166015
0_75_90,6882.963394313,4643.357928359001
1_82_8,12774.629765076,3190.150180389
6_62_72,51040.860486991,5174.077130272
1_17_84,9050.253250012,4783.278745971
0_86_88,3559.099306206,1535.055026721
8_79_37,65706.59626537,5422.526204974
2_12_66,18857.328163723,2684.428931209
1_39_54,8930.977901756,5571.200491141
1_44_56,14494.247847276,2472.189262936
8_66_44,64101.486919211,6009.470940871999
7_7_28,57919.591278134,1756.746154624
9_37_55,72990.955865153,6240.134452636
9_85_67,70577.097581931,3921.223942765
5_85_35,39220.059880448,3347.907612805
7_12_78,53682.393719918,6088.610009831999
2_8_45,17330.029629885,5595.937871524
9_45_15,71179.32996408599,5875.108901009
2_92_19,17062.943431282,2686.154867922
5_82_18,41919.634065803,6066.663646372
2_54_21,19233.453099438,4312.660030518
0_14_49,6053.769895374,5650.276547627
6_63_9,49608.203825431,5778.013144572
9_80_69,72395.556420783,2238.397335241
0_47_69,6577.509534377,5954.41488165
2_91_24,19054.046937534,3493.141069908
4_9_76,32834.8064031,1933.748452368
6_29_54,51442.082928066,4281.782430924
2_38_13,18659.232955787,5834.142722349
7_77_34,58719.51262522,2376.356244491
2_0_7,18376.562897307,1489.958193822
6_87_73,45790.536039541,3361.414309014
1_69_34,10165.999938487,2865.000096797
4_7_64,31397.175923109,5056.190215964
7_42_64,55313.006078406,2665.884611492
7_53_57,55289.387370954006,5184.644070646
0_89_4,2518.038429861,5545.483924555
8_79_61,61763.235507878,4188.355760023
9_84_93,71586.519993866,4368.665292347
7_78_86,54200.60591635099,4080.42271104
1_62_21,12366.354219811,3473.687613572
0_68_79,7177.653948757,5649.589575855
9_36_4,69977.425524111,4432.601770809
7_47_78,58130.211775574,4489.635578354
1_88_64,13477.440436672,2757.112235772
1_22_57,14082.461306707,3785.178245332
6_32_25,50728.22066396599,4575.613174495999
1_28_93,10026.595418094,5573.585289226
8_38_51,66117.327566472,1295.696298372
6_53_79,46790.25105274,4972.086547149001
8_12_66,61785.386080772005,6098.951719285
2_58_64,18459.865092104,4207.993696675
8_57_3,66393.325027915,5819.420979869
5_10_45,44245.672839318,5893.087879216
4_40_60,33734.462355963,2435.374872298
7_1_63,57026.009123228,3281.086308438
8_16_88,60349.40039028,5609.441016795
4_8_51,33549.278309461,1525.588452944
0_46_48,7091.793368277,3628.583136525
8_65_71,64407.58538624099,2586.721298073
8_29_45,64304.709635422005,5407.39399072
7_34_52,58216.545949774,2559.607081176
2_81_17,18946.176040223,5910.092391835
2_92_38,19770.11573265,4618.403080986
1_80_55,13177.837498782,5291.57823338
3_41_94,29465.978263005,2932.7148988090003
6_84_51,50533.88786938901,4074.624909691
6_90_40,49604.786791439,4871.059843087
6_49_49,47809.756426742,2555.03498606
8_57_89,63579.96027855,5909.148691689
2_86_22,21679.669470214,5307.565590145
5_9_8,43551.690235944,5467.797717273
3_28_6,24119.718138652,5427.236540271
1_2_84,13774.170090718,2657.14726793
8_53_57,61509.000534487,1661.380487663
1_26_37,8714.556528589,5768.502152643
9_80_76,70505.329434161,1902.764322516
2_4_12,19363.221997885,4295.98927895
2_57_68,18758.98685224,1676.082578516
6_2_37,47107.52452408,5270.941296661
7_93_21,54501.911016948,3884.281824138
1_27_70,10358.068910591,2145.028722851
9_12_6,70298.27127711,3129.952052103
3_87_95,23528.584866357003,5129.334709318
7_10_34,56717.20873101099,2876.205206765
7_91_36,57535.161158389004,3479.191435778
1_58_75,9960.104614885,4569.983737648
8_46_31,60368.950672792,1565.49215901
1_61_49,9732.381237041,5965.541898198
1_65_19,8749.51458642,2569.12891884
8_46_57,64813.60502174,1872.837070497
0_0_54,3526.096202642,5945.64772127
6_38_93,49199.155850344,5779.134066686999
3_55_37,28982.088854943,2936.235740124
5_76_23,42136.341500197,4578.4278767020005
0_9_83,5169.444977187,5142.3547408370005
8_42_30,60668.538775333,3771.688526587
0_77_34,4184.135013453,1908.602911812
9_50_42,70868.92847757401,5240.594176454
0_55_15,3251.373776648,4227.427784626
7_4_61,57814.003725581,5494.361006988
6_62_29,48622.624083862,5477.145100632
6_78_61,51116.714193472,6087.850634598
8_51_69,62405.574322177,2667.975331529
0_32_18,2862.793092584,5032.966894343
7_77_31,55202.56882044,4695.093216147
8_32_25,63986.406490232,4523.72937749
0_13_49,6604.745948248001,2239.862417513
0_35_22,7007.444855158001,4260.598260275
7_34_59,53090.418275623,5284.279816113
4_65_41,34547.646873005,4563.671018243
0_32_22,4874.555058086,3539.797247326
7_21_0,54579.468268188,6091.858510552
4_39_58,30801.492441202,5246.129404154
8_72_89,64984.504537047,5013.589929609
0_84_9,6578.300768763001,3577.551932621
5_55_55,42123.153029525,6179.098802949
9_83_25,73095.746954452,3356.02470625
5_18_84,41720.534165366,3973.109007302
8_54_21,64598.397940384006,5216.533336409
4_14_66,35151.233313876,5770.401340763001
4_55_88,36052.429572437,4445.082883574
3_66_17,28783.170842985,2318.897455461
0_81_70,2144.556245763,1525.0629602979998
5_57_0,39615.96392822,2745.983057802
9_60_87,71658.998295353,5153.794708678
8_51_64,65307.429288334,2999.71590314
8_82_86,62181.366249194005,4293.296894312
9_36_45,70788.211405253,2506.918722059
8_85_63,63479.830360572,5700.400681402
6_19_74,50035.388073755,1758.95714053
9_57_91,72389.538450983,6149.49915205
4_69_30,32110.674929119,5667.364633791
8_10_35,60875.234512999006,1350.867822276
2_17_56,20868.360375103,4320.063709405
2_27_17,19665.493534779,3090.0050257840003
0_55_64,1302.045988596,5733.842580873001
4_35_18,36343.698931057,1838.073850245
3_91_1,27868.871953904,4749.042180709001
8_68_94,61804.461504499006,1569.944196547
6_56_24,47316.365357253,2240.470765762
3_79_56,28171.162007375,5236.373914875
2_25_13,17749.528253928,1485.537899937
1_60_60,13877.134643587,2798.347308912
6_80_57,46692.20375016,1231.32306807
3_39_48,28082.647789571,1610.647019376
9_77_61,69473.697709548,3649.158088242
7_49_56,56224.37665460701,2563.7728971320003
3_5_49,27137.405771108,2511.77613569
5_47_54,42635.029283842,2144.048442428
2_61_63,21970.563875996,2709.27498821
1_55_15,9956.352133851,1233.341395115
6_84_54,45712.001720327,4172.863258119
5_15_86,40122.428625258,5278.751065939
6_86_13,49429.147753966,2562.098443027
9_15_0,73089.58372442,2831.315994608
0_90_27,4245.012059478,5135.948198127
0_50_73,1860.773374368,3221.423887978
8_47_78,63285.803023008,3806.217687474
1_44_27,9652.374317563,5780.717195261
5_76_91,41419.909500069,6062.031336629
8_92_42,60868.790081389,2279.392603732
9_89_56,71972.22813923401,6250.730153711999
5_10_87,39328.145339408,2048.674876052
2_72_7,20788.237812498,4217.909336404
0_32_88,2472.522128299,1520.612610455
5_17_67,43428.620816991,5565.313806896
8_52_18,62172.147694548,6206.77831576
3_24_68,24037.120192703,4536.292954827
4_30_35,34449.91123659,2941.599926284
2_19_92,21969.944782534,5014.056697359
1_0_36,12569.766402483,4064.913411823
8_94_88,64597.485156363,5324.52843592
5_73_92,38689.501079565,5062.974922915
2_73_14,20770.751481082,4116.829321599001
9_30_75,71092.061481556,3933.017496592
3_55_89,24439.725619251,5424.602957337
0_50_15,1636.7643495779998,1192.593024349
3_29_87,24118.672643706,6039.381953455
7_81_6,57609.490640011,1263.515408109
2_56_2,17450.990736292,3491.129543685
8_2_94,64398.04367415,4314.685773369
9_81_27,72778.806884802,5956.200174051
0_0_55,6102.012596336,1956.415074235
1_14_93,13964.406603945,3980.708914392
1_76_65,9052.219233251,1836.6310002
5_82_61,43732.658203327,1744.5341645729998
8_79_17,65915.808742019,3920.81477728
3_65_22,27966.550097868,3725.728163083
6_45_79,49831.353778348,5891.171587359
5_55_12,39398.181471249,5871.513563541999
6_71_41,48808.084906956,2675.736766085
0_92_2,2751.315315864,1515.706651912
0_1_71,4770.017503164,5754.521321686
8_84_0,65831.178440312,4223.957491432
4_15_76,36247.142125131,1931.137506149
9_84_37,72078.480613362,3740.985003027
0_27_0,6780.49314596,1523.458546395
2_31_16,19638.50721546,5620.047233156
3_23_75,24237.622087644,4434.276587691
1_35_49,9536.825242855,1245.691918709
7_94_12,58002.49757028,2866.115418701
2_5_56,21775.239238726,4729.565953729
1_81_84,9248.155620835,4762.341218436
4_44_14,30811.167993045,1412.286059545
0_66_67,3264.042086785,1202.003347827
8_68_79,66406.599636695,4218.142675977
9_83_6,69587.246343467,4521.304048241
5_43_62,43729.358244627,3956.070844501
5_7_48,38717.844843902,1842.625665287
5_43_6,38926.232132436,2135.657552655
8_94_30,65727.939843852,1701.151541174
8_0_24,62584.646411651,4289.072378933
9_61_75,67776.602152703,2198.639748427
8_52_48,64531.70869938,1579.308413976
2_61_24,21768.60477655,1600.096803161
2_35_84,18967.963533614,4121.432598953
5_29_70,41842.971957118,4778.41637864
8_11_21,65929.771194335,1372.85304789
8_58_75,66138.757702384,2100.004348618
2_50_72,17742.585614137,4797.122620723
3_56_64,23416.526609788,3925.325221346
6_43_48,46796.481289465,3251.509661896
2_45_61,20862.100787961,5338.3498414840005
6_35_26,49923.35586387401,5586.699273200999
5_29_94,42827.039718227,1554.010953382
5_60_53,38819.719614023,5891.119562496
6_85_37,47920.071395067,4173.89332464
8_7_19,65499.478667312,4525.421074305999
3_83_45,28381.297112753,4844.941539570999
5_16_72,40626.790249262005,2543.390509936
6_38_76,45782.857834135,3169.952088771
6_52_48,51227.745993167,3059.735238455
1_73_82,13400.954662929,1552.969398928
0_9_21,5063.396107851,4524.593890783
2_61_66,16334.107188437,2478.7398655360003
3_91_37,29278.13242564,1910.518910849
9_16_70,70265.923146764,4230.782360464
7_71_72,56899.70633778,5575.138823726
3_32_67,25543.310254883,2124.555321899
6_57_17,45584.598627325,2059.776813552
1_24_24,11657.255859128,2358.488132929
2_43_89,18026.187347432,4819.081688241
0_86_50,4981.2535650770005,5044.380291197
0_80_63,5248.131174973,3346.179290984
0_61_50,2244.451761236,1099.284137331
1_75_23,11561.438978905,3065.843032621
6_80_86,49624.310057342,5484.263736769
9_45_37,71675.06188947099,3436.852926305
6_19_66,50942.659421436,2069.4124073420003
1_92_26,9740.165188837,3350.170332555
0_66_12,6661.567704902,3451.9827673590003
2_58_57,21190.696704456,4831.512728596
8_82_68,65505.303565336,5499.171144955
8_50_61,64210.961659529006,3184.058530965
7_60_22,56403.774137771,3290.690561496
8_9_69,66016.221608446,2490.941727797
7_24_69,54201.191627172,3876.937331164
0_41_58,6804.056294891,1619.5307777070002
2_44_92,20759.775320278,1400.845407893
0_10_6,7169.915422311,3044.274386496
2_28_18,16635.63670532,4116.925363985
1_12_56,9335.251350964,2443.72614862
9_38_48,71304.777686277,2513.572488527
2_80_58,18859.647949775,2293.355878334
1_16_7,9133.311190965,4749.70647644
0_70_76,3833.58227918,5236.439801222
0_41_57,4168.284173861,4337.562205022
2_70_51,20162.259396785,5206.437487985
1_29_20,11257.757711952,3169.002063374
2_90_58,17259.471788369,4510.744701235
9_90_74,69460.211412908,5838.906701041
0_76_24,1729.565027571,5634.00436586
9_78_69,67993.97948067701,1382.885132101
3_43_56,28765.407574786,5550.22817497
7_37_17,55110.927270923,4484.174262302
9_27_88,72498.49027413799,5851.4220572330005
1_5_4,12360.05798446,4976.830410875
8_31_33,66402.484984605,3004.243201248
2_49_68,18759.883968479,2899.631741026
6_31_67,51130.300565876,4374.809905625
5_38_11,42443.033305557,4270.394436792
2_57_61,21885.886283964,3732.04471871
7_87_86,53982.002153403,2557.47343631
2_93_66,20261.61701172,3323.501032463
7_3_66,57126.806908251,2976.519398572
0_71_9,6472.211500445,5475.984494089001
8_63_67,66287.211396638,4919.189555368
9_51_24,68577.31614977,5433.0155761
1_60_19,8745.13495212,2338.4330744470003
1_36_95,14717.277569333,1870.040717289
2_80_49,19364.662902808,1781.576945641
2_0_91,18253.839292891,1877.175975176
7_61_50,58242.99177151,1464.302330735
9_6_95,67990.911885639,2104.9267446060003
0_47_0,3272.9681907359995,3028.125518853
3_32_65,24629.006030734,2329.987499211
3_42_55,26743.443573535,2539.410459406
5_90_83,42442.988180835,4573.6630338390005
6_58_18,49935.261584127,4672.729110695
7_42_58,58720.722668424,3168.149953984
9_6_83,72977.707850294,6166.059670932
9_6_12,70073.118346969,2416.66836103
7_3_21,54700.595481634,2865.115163895
2_36_52,21789.623880851,3409.498542426
0_84_49,7206.306753754,3253.321001021
0_90_87,2457.169991484,3117.868404721
9_18_52,70690.682174612,6245.741112605
7_37_20,55812.075428498,5084.521114313
4_31_78,31237.436412936,2024.278037315
0_56_36,4350.896473433,4350.000487206
8_32_28,61590.386923852006,2564.921928799
8_18_76,61572.778460732,6092.917893496
1_53_61,13295.439009072,5185.575459803
7_86_27,53389.755822314,5274.385349749
8_82_7,64319.925601069,2587.431743583
5_1_58,43853.692868915,2645.470316213
0_83_66,2461.322276925,3522.7425744720003
2_30_58,20476.306421618,5315.738763151
3_9_7,24003.106931418,5830.459424451999
9_66_73,69055.548104204,3224.864296383
3_36_52,26661.184977679,3317.987886443
5_55_14,39114.934955992,2755.363035525
6_47_25,51343.662122837,4178.136319628
0_35_46,1629.97594594,4212.352477042999
6_85_14,50816.44113481,4468.342073623
1_22_24,13959.245524125,4578.565892993
9_42_27,71483.39085015,4039.417363607
0_28_53,6707.719786041,1111.329930269
7_15_9,56115.88287777,3180.844859276
4_43_34,33625.809414308,5568.074453456999
7_31_45,56012.705113952,5073.160301581
4_65_62,31230.33327951,1509.209029971
3_26_61,23418.86447278,4737.015852391
1_76_24,10658.070746336,5169.73880454
4_2_83,33835.52577183,1325.762972701
1_49_55,14714.862720654,1763.000722337
5_49_57,42338.82607789,4689.232837965999
1_77_31,9453.032738774,2338.258464671
2_50_37,16011.627061218998,5082.651427475
5_27_2,41134.208769229,4463.793169773
7_9_63,56895.003243581,4790.4937157740005
9_73_78,71593.02800376,1325.283921586
8_74_27,63609.539024333,1877.189244704
7_26_11,56209.451028504,3574.128453534
3_50_30,25651.677888475,4527.744894163
0_88_38,5881.605790798,3868.142586635
1_24_18,12057.233965347,2053.179669341
8_88_21,66131.918284328,2584.820973308
6_86_20,50534.64260193401,5072.5354858420005
6_63_29,50817.470836839006,4684.217188181
9_1_71,71316.13233485901,2622.5533197970003
1_4_60,12768.643256713,3466.804547277
3_57_16,29043.696481188,5052.307719982
7_60_37,57306.236453279,5788.276140914
3_24_86,25256.930884355,4222.754468261
9_21_76,70905.626145107,1729.989854265
4_48_80,31708.611804365,2644.873743148
3_47_2,24140.651328006003,4925.8272695840005
8_42_9,60881.009116474,4591.566660005999
1_10_58,10976.303599394,1664.992782037
1_44_66,9342.295703528,3542.802187381
9_77_56,68091.217022785,1392.139351296
6_29_85,45589.996132447,5582.174944581
3_39_20,24628.973661614,2822.656851716
5_63_59,43932.363496237005,6190.4290677280005
8_79_48,61296.56491894,1481.5463538370002
4_94_78,31615.784044016,1424.4672473720002
8_38_92,63217.087027763,2992.3115745620003
1_16_71,9556.271386205,3560.444394666
7_12_84,56619.655871032,3878.311854891
1_32_17,8719.593875068,2755.88307166
5_53_64,38316.567130628,5064.376340204
0_10_59,6167.691215106999,4148.970247611
8_55_57,66433.96511666299,1795.484282834
0_17_38,4268.775452729,3234.451042893
0_31_90,5894.770326894,4053.603346439
9_16_21,72003.483683082,2121.202564611
2_84_14,16031.092326208998,1192.342899571
1_22_54,9012.99780806,5267.558688381
1_18_17,12973.187046888,4476.811901064
6_4_62,50312.340189489005,6004.882297365
5_72_49,39612.950177957006,3844.084953946
9_0_81,69557.954857945,5337.859232098
2_89_7,16026.537691651,2600.652977105
9_92_75,68260.364724695,6249.225261377
5_10_59,43856.427480591,5167.05916349
3_61_83,25939.690545814,5020.31491171
8_26_12,62392.066165702,2197.59377477
9_67_78,71799.992879722,4644.537784579
6_69_30,50957.010118225,1351.916101674
3_84_54,25430.530951745,2818.138904117
2_89_37,16435.593703703,5596.224998443001
6_46_42,51127.16930405099,4161.981884701
4_73_64,33828.295351333,3337.251019219
1_59_36,13775.30869362,2888.981719938
9_53_18,69585.571902222,1912.053686567
5_24_72,43344.510931418,3974.607428532
3_70_17,26137.443852324,3320.115303146
9_28_13,70061.440054202,4716.128314484
2_8_61,18870.262752362,3914.26525254
6_86_78,46490.822499106,4967.232116818
2_0_63,18060.391318085,1484.99471049
